Rodada: 57, Jogador: 0, carta da vez: 05♣, maiores montes Jogador: jogador 0 - Total de cartas: 23 - ,  baralho tem 42 cartas.
Rodada: 58, Jogador: 0, carta da vez: 04♠, maiores montes Jogador: jogador 0 - Total de cartas: 24 - ,  baralho tem 41 cartas.
Rodada: 59, Jogador: 0, carta da vez: 03♦, maiores montes Jogador: jogador 0 - Total de cartas: 25 - ,  baralho tem 40 cartas.
Rodada: 60, Jogador: 0, carta da vez: 06♣, maiores montes Jogador: jogador 0 - Total de cartas: 26 - ,  baralho tem 39 cartas.
Rodada: 61, Jogador: 0, carta da vez: 01♣, maiores montes Jogador: jogador 0 - Total de cartas: 27 - ,  baralho tem 38 cartas.
Rodada: 62, Jogador: 0, carta da vez: 13♠, maiores montes Jogador: jogador 0 - Total de cartas: 28 - ,  baralho tem 37 cartas.
Rodada: 63, Jogador: 0, carta da vez: 03♥, maiores montes Jogador: jogador 0 - Total de cartas: 29 - ,  baralho tem 36 cartas.
Rodada: 64, Jogador: 0, carta da vez: 11♥, maiores montes Jogador: jogador 0 - Total de cartas: 30 - ,  baralho tem 35 cartas.
Rodada: 65, Jogador: 0, carta da vez: 09♠, maiores montes Jogador: jogador 0 - Total de cartas: 31 - ,  baralho tem 34 cartas.
Rodada: 66, Jogador: 0, carta da vez: 13♦, maiores montes Jogador: jogador 0 - Total de cartas: 32 - ,  baralho tem 33 cartas.
Rodada: 67, Jogador: 0, carta da vez: 09♦, maiores montes Jogador: jogador 0 - Total de cartas: 33 - ,  baralho tem 32 cartas.
Rodada: 68, Jogador: 0, carta da vez: 02♣, maiores montes Jogador: jogador 0 - Total de cartas: 34 - ,  baralho tem 31 cartas.
Rodada: 69, Jogador: 0, carta da vez: 09♥, maiores montes Jogador: jogador 0 - Total de cartas: 35 - ,  baralho tem 30 cartas.
Rodada: 70, Jogador: 0, carta da vez: 05♠, maiores montes Jogador: jogador 0 - Total de cartas: 36 - ,  baralho tem 29 cartas.
Rodada: 71, Jogador: 0, carta da vez: 04♦, maiores montes Jogador: jogador 0 - Total de cartas: 37 - ,  baralho tem 28 cartas.
Rodada: 72, Jogador: 0, carta da vez: 01♥, maiores montes Jogador: jogador 0 - Total de cartas: 38 - ,  baralho tem 27 cartas.
Rodada: 73, Jogador: 0, carta da vez: 12♦, maiores montes Jogador: jogador 0 - Total de cartas: 39 - ,  baralho tem 26 cartas.
Rodada: 74, Jogador: 0, carta da vez: 01♠, maiores montes Jogador: jogador 0 - Total de cartas: 40 - ,  baralho tem 25 cartas.
Rodada: 75, Jogador: 0, carta da vez: 13♦, maiores montes Jogador: jogador 0 - Total de cartas: 41 - ,  baralho tem 24 cartas.
Rodada: 76, Jogador: 0, carta da vez: 07♥, maiores montes Jogador: jogador 0 - Total de cartas: 42 - ,  baralho tem 23 cartas.
Rodada: 77, Jogador: 0, carta da vez: 11♣, maiores montes Jogador: jogador 0 - Total de cartas: 43 - ,  baralho tem 22 cartas.
Rodada: 78, Jogador: 0, carta da vez: 10♠, maiores montes Jogador: jogador 0 - Total de cartas: 44 - ,  baralho tem 21 cartas.
Rodada: 79, Jogador: 0, carta da vez: 04♣, maiores montes Jogador: jogador 0 - Total de cartas: 45 - ,  baralho tem 20 cartas.
Rodada: 80, Jogador: 0, carta da vez: 08♥, maiores montes Jogador: jogador 0 - Total de cartas: 46 - ,  baralho tem 19 cartas.
Rodada: 81, Jogador: 0, carta da vez: 07♣, maiores montes Jogador: jogador 0 - Total de cartas: 47 - ,  baralho tem 18 cartas.
